idLoc,idProv,nomLoc,nomZona
11273,4,Lapachal,SANTA BARBARA
11274,4,Loma Pelada,SANTA BARBARA
11275,4,Los Matos,SANTA BARBARA
11276,4,Milan,SANTA BARBARA
11277,4,Palma Sola,SANTA BARBARA
11278,4,Pie De La Cuesta,SANTA BARBARA
11279,4,Puesto Nuevo,SANTA BARBARA
11280,4,Real De Los Toros,SANTA BARBARA
11281,4,San Juan De Dios,SAN PEDRO
11282,4,San Rafael,SANTA BARBARA
11283,4,Santa Clara,SANTA BARBARA
11284,4,Siete Aguas,SANTA BARBARA
11285,4,San Pedro 2,SAN PEDRO
11286,4,Arrayanal,SAN PEDRO
11287,4,La Esperanza,SAN PEDRO
11288,4,Lavayen,EL CARMEN
11289,4,Los Bayos,SAN PEDRO
11290,4,Lote El Puesto,SAN PEDRO
11291,4,Lote La Cienaga,SAN PEDRO
11292,4,Lote La Posta,SAN PEDRO
11293,4,Lote Miraflores,COCHINOCA
11294,4,Lote Palmera,SAN PEDRO
11295,4,Lote Parapeti,SAN PEDRO
11296,4,Lote San Antonio,SAN PEDRO
11297,4,Chalican,LEDESMA
11298,4,El Quemado,SAN PEDRO
11299,4,Leachs,SANTA BARBARA
11300,4,Lote Zora,LEDESMA
11301,4,Rio Negro,SANTA BARBARA
11302,4,Arenal Barroso,LEDESMA
11303,4,Fraile Pintado,LEDESMA
11304,4,Guayacan,LEDESMA
11305,4,La Bajada,LEDESMA
11306,4,La Reduccion,LEDESMA
11307,4,Lote Maiz Negro,LEDESMA
11308,4,Alto Calilegua,LEDESMA
11309,4,Ingenio Ledesma,LEDESMA
11310,4,Las Higueritas,LEDESMA
11311,4,Ledesma,LEDESMA
11312,4,Libertador General San Martin,LEDESMA
11313,4,Lote Prediliana,LEDESMA
11314,4,Normenta,LEDESMA
11315,4,Pueblo Ledesma,LEDESMA
11316,4,Pueblo Nuevo,LEDESMA
11317,4,San Francisco,VALLE GRANDE
11318,4,Gobernador Tello,VALLE GRANDE
11319,4,Pampichuela,VALLE GRANDE
11320,4,Pueblo,VALLE GRANDE
11321,4,San Lucas,VALLE GRANDE
11322,4,Santa Barbara,VALLE GRANDE
11323,4,Valle Grande,VALLE GRANDE
11324,4,Calilegua,LEDESMA
11325,4,Caimancito,LEDESMA
11326,4,Finca Agua Salada,LEDESMA
11327,4,Finca Agua Tapada,LEDESMA
11328,4,Finca La Lucrecia,LEDESMA
11329,4,Finca La Realidad,LEDESMA
11330,4,Finca Santa Cornelia,LEDESMA
11331,4,Los Baños Termales,LEDESMA
11332,4,Obraje San Jose,LEDESMA
11333,4,Vinalito,SANTA BARBARA
11334,4,Yuto,LEDESMA
11335,4,Barro Negro,SAN PEDRO
11336,4,El Palmar De San Francisco,SANTA BARBARA
11337,4,La Mendieta,SAN PEDRO
11338,4,La Sanga,TILCARA
11339,4,Lote Don David,SAN PEDRO
11340,4,Lote Don Emilio,SAN PEDRO
11341,4,Lote Piedritas,SAN PEDRO
11342,4,Lote San Juancito,EL CARMEN
11343,4,Lote Sauzal,SANTA BARBARA
11344,4,Palo Blanco,EL CARMEN
11345,4,Palo Santo,SAN PEDRO
11346,4,Rio Grande,SAN PEDRO
11347,4,Saladillo,SAN PEDRO
11348,5,El Molle,ORAN
11349,5,El Quemado,ORAN
11350,5,Finca Mision Zenta,ORAN
11351,5,La Toma,ORAN
11352,5,Limoncito,IRUYA
11353,5,Minas Y P F,ORAN
11354,5,Oran,ORAN
11355,5,Parani,ORAN
11356,5,Piedra Del Portillo,ORAN
11357,5,Pozo Azul,ORAN
11358,5,Pozo De La Esquina,ORAN
11359,5,Rio Colorado,ORAN
11360,5,Rio De Las Piedras,ORAN
11361,5,Rio Pescado,ORAN
11362,5,San Andres,ORAN
11363,5,San Antonio,ORAN
